product_id;parent_id;sku;name;stock_now;sold_period;avg_daily;needed_for_cover;order_qty;stock_cover_days;status
590503512;590503510;5912940;CANPOL 68/061 - Pluszowa zabawka z grzechotką i lusterkiem DŁUGIE USZY - różowa;0;0;0,000;0;0;;OK
590503514;590503513;776188;CANPOL 68/063 - Interaktywna spirala do łóżeczka/wózka ZIGZAG - czerwona;0;0;0,000;0;0;;OK
590503515;590503513;776187;CANPOL 68/063 - Interaktywna spirala do łóżeczka/wózka ZIGZAG - niebieska;0;0;0,000;0;0;;OK
590503531;0;778017;CANPOL 68/077 - Pluszowa sensoryczna mata do zabawy Sensory Toys;0;0;0,000;0;0;;OK
590503532;0;778840;CANPOL 68/080 - Zabawka kontrastowa z piszczkiem i lusterkiem SENSORY TOYS;0;0;0,000;0;0;;OK
590503533;0;778838;CANPOL 68/081 - Pluszowa kontrastowa książeczka edukacyjna SENSORY TOYS;0;0;0,000;0;0;;OK
590503534;0;778839;CANPOL 68/082 - Pluszowa piłka kontrastowa SENSORY TOYS;0;0;0,000;0;0;;OK
590503535;0;778837;CANPOL 68/083 - Kontrastowa karuzelka podróżna do wózka/fotelika SENSORY;0;0;0,000;0;0;;OK
590503536;0;778836;CANPOL 68/084 - Kontrastowa karuzela z pozytywką SENSORY TOYS;0;0;0,000;0;0;;OK
590503537;0;791344;CANPOL 68/085 - Sensoryczna zawieszka do wózka BabiesBoo;0;0;0,000;0;0;;OK
590503425;0;791345;CANPOL 68/086 - Sensoryczna zabawka z gryzakiem i grzechotką BabiesBoo;0;0;0,000;0;0;;OK
590503538;0;791347;CANPOL 68/088 - Sensoryczna książeczka manipulacyjna BabiesBoo Panda;0;0;0,000;0;0;;OK
590503539;0;791346;CANPOL 68/089 - Sensoryczna piłka z grzechotką i piszczkiem BabiesBoo;0;0;0,000;0;0;;OK
590503540;0;791342;CANPOL 68/090 - Interaktywna sensoryczna zabawka BabiesBoo Leniwiec;0;0;0,000;0;0;;OK
590503541;0;791341;CANPOL 68/091 - Sensoryczna karuzela podróżna BabiesBoo;0;0;0,000;0;0;;OK
590503542;0;791339;CANPOL 68/092 - Sensoryczna mata edukacyjna z lusterkiem BabiesBoo;0;0;0,000;0;0;;OK
590503543;0;791340;CANPOL 68/093 - Sensoryczna karuzela z pozytywką/Bluetooth BabiesBoo;0;0;0,000;0;0;;OK
590503517;590503516;5910715;CANPOL 68/095 - Zabawka sensoryczna z piszczkiem BabiesBoo - leniwiec;0;0;0,000;0;0;;OK
590503518;590503516;5910716;CANPOL 68/095 - Zabawka sensoryczna z piszczkiem BabiesBoo - panda;0;0;0,000;0;0;;OK
590503431;0;5910717;CANPOL 68/096 - Miękkie kontrastowe karty sensoryczne z gryzak BabiesBoo;0;0;0,000;0;0;;OK
590503544;0;5910718;CANPOL 68/097 - Sensoryczna miękka książeczka edukacyjna BabiesBoo;0;0;0,000;0;0;;OK
590503545;0;5910719;CANPOL 68/098 - Miękka konstastowa kostka sensoryczna BabiesBoo;0;0;0,000;0;0;;OK
590503546;0;5910720;CANPOL 68/099 - Lusterko sensoryczne z elem.interaktywnymi BabiesBoo;0;0;0,000;0;0;;OK
590503547;0;5911947;CANPOL 68/100 - Leniwiec z pozytywką i projektorem 3w1 BabiesBoo;0;0;0,000;0;0;;OK
590503548;0;5911949;CANPOL 68/101 - Pluszowa Panda z zawieszką pozytywką i lampką BabiesBoo;0;0;0,000;0;0;;OK
211347402;0;774237;CANPOL 7/406 - Szczotka z grzebykiem Newborn -  miękka naturalna BIAŁA;0;0;0,000;0;0;;OK
590503549;0;5908157;CANPOL 75/200 - Mata edukacyjna FOX;0;0;0,000;0;0;;OK
590503551;0;5908156;CANPOL 75/201 - Karuzela z pozytywką nad łóżeczko FOX;0;0;0,000;0;0;;OK
590503556;0;5908158;CANPOL 75/202 - Pluszowa książeczka edukacyjna FOX;0;0;0,000;0;0;;OK
590503520;590503519;774971;CANPOL 79/101 - Interaktywna zabawka z grzechotką MIŚ - czerwony;0;0;0,000;0;0;;OK
590503521;590503519;5912648;CANPOL 79/101 - Interaktywna zabawka z grzechotką MIŚ - zielony;0;0;0,000;0;0;;OK
590503562;0;776414;CANPOL 79/102 - Miękkie klocki sensoryczne 12szt;0;0;0,000;0;0;;OK
590503567;0;791204;CANPOL 79/103 - Sensoryczna układanka piramidka;0;0;0,000;0;0;;OK
590503573;0;780746;CANPOL 79/104 - Zabawka kreatywna do zabawy w wodzie;0;0;0,000;0;0;;OK
590503578;0;786396;CANPOL 79/402 - Miękkie piłeczki sensoryczne 6szt.;0;0;0,000;0;0;;OK
590503584;0;780510;CANPOL 80/201 - Miękka grzechotka Króliczek różowy;0;0;0,000;0;0;;OK
590503590;0;5903867;CANPOL 80/308 - Zestaw odkręcanych zabawek silikonowych do kąpieli;0;0;0,000;0;0;;OK
211347409;0;5902719;CANPOL 9/814 - Zestaw pielęgnacyjny - do paznokci - dla niemowląt i dzieci - RÓŻOWY;1;0;0,000;0;0;;OK
541273188;0;5901691801950;CANPOL24/201 -  BUTELKA antykolkowa - (S-Shape) - SZEROKA PP - (200 ml) - 0m+;2;0;0,000;0;0;;OK
211347227;0;CHI000128;CHICCO - Chusteczki Pielęgnacyjne - (72szt)  0m+;3;0;0,000;0;0;;OK
211347479;0;5905615;CHICCO - Oliwka do masażu 0m+ (200ml);1;0;0,000;0;0;;OK
211347412;0;788843;CHICCO 00006569100000 - SZCZOTKA+GRZEBIEŃ - naturalne włosie -  RÓŻOWY;1;0;0,000;0;0;;OK
211347482;0;5905616;CHICCO 00010580000000 - Płyn do kąpieli protection  0m+ (500ml);2;0;0,000;0;0;;OK
211347615;0;788781;CHICCO 00061779000000 - Wkładki laktacyjne - (30 szt.);2;0;0,000;0;0;;OK
211347234;0;CHI000028;CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 72SZT;3;0;0,000;0;0;;OK
