legacy_id,title,old_handle,new_handle,seo_title_updated,seo_description_updated,handle_updated,redirect_created,success,error
10309720801613,AKUKU A0399 - Kolektor na mleko - (ręczny),akuku-a0399-kolektor-na-mleko,akuku-a0399-kolektor-na-mleko,True,True,False,False,True,
10309722571085,AKUKU A0306 - Laktator ręczny,akuku-a0306-laktator-reczny,akuku-a0306-laktator-reczny,True,True,False,False,True,
10309730599245,CANPOL 12/216 - Laktator - RĘCZNY - Basic light,canpol-12-216-laktator-reczny-basic-light,canpol-12-216-laktator-reczny-basic-light,True,True,False,False,True,
10309754159437,WYPRAWKA TORBA DLA NOWORODKA/MAMY DO SZPITALA + ROŻEK + GRATIS-N,wyprawka-torba-dla-noworodkamamy-do-szpitala-rozek-gratis-n,wyprawka-torba-dla-noworodkamamy-do-szpitala-rozek-gratis-n,True,True,False,False,True,
10309759500621,WYPRAWKA TORBA DLA NOWORODKA/MAMY DO SZPITALA + ROŻEK + GRATIS-R,wyprawka-torba-dla-noworodkamamy-do-szpitala-rozek-gratis-r,wyprawka-torba-dla-noworodkamamy-do-szpitala-rozek-gratis-r,True,True,False,False,True,
10309760876877,TORBA WYPRAWKA dla noworodka i mamy do szpitala - DUŻY ZESTAW+RĘCZNIK,torba-wyprawka-dla-noworodka-i-mamy-do-szpitala-duzy-zestawrecznik,torba-wyprawka-dla-noworodka-i-mamy-do-szpitala-duzy-zestawrecznik,True,True,False,False,True,
10309761466701,Wyprawka TORBA dla noworodka i mamy do szpitala – NAJWAŻNIEJSZE +GRATIS-N,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-najwazniejsze-gratis-n,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-najwazniejsze-gratis-n,True,True,False,False,True,
10309762318669,Wyprawka TORBA dla noworodka i mamy do szpitala – NAJWAŻNIEJSZE +GRATIS-R,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-najwazniejsze-gratis-r,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-najwazniejsze-gratis-r,True,True,False,False,True,
10309763432781,Wyprawka TORBA dla noworodka i mamy do szpitala – DUŻY ZESTAW + GRATIS-N,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-duzy-zestaw-gratis-n,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-duzy-zestaw-gratis-n,True,True,False,False,True,
10309764022605,Wyprawka TORBA dla noworodka i mamy do szpitala – DUŻY ZESTAW + GRATIS-R,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-duzy-zestaw-gratis-r,wyprawka-torba-dla-noworodka-i-mamy-do-szpitala-duzy-zestaw-gratis-r,True,True,False,False,True,
10309767299405,Wyprawka do szpitala dla mamy i noworodka – DUŻY ZESTAW + PIKOWANA TORBA,wyprawka-do-szpitala-dla-mamy-i-noworodka-duzy-zestaw-pikowana-torba,wyprawka-do-szpitala-dla-mamy-i-noworodka-duzy-zestaw-pikowana-torba,True,True,False,False,True,
